words,tags
RENTAL,O
AGREEMENT,O
Parties,O
The,O
parties,O
to,O
this,O
agreement,O
are,O
LEE,B-ORG
MING,L-ORG
.,O
IC,U-ORG
521212,O
-,O
01,O
-,O
6009,O
hereinafter,O
called,O
“,O
landlord,O
',',O
”,O
and,O
JIMMY,B-PER
SINAU,L-PER
.,O
IC,O
850419,O
-,O
13,O
-,O
5213,O
herinafter,O
called,O
“,O
tenant,O
.,O
”,O
Property,B-ORG
Landlord,L-ORG
hereby,O
lets,O
the,O
following,O
property,O
to,O
tenant,O
for,O
the,O
term,O
of,O
this,O
agreement,O
:,O
(,O
a,O
),O
the,O
real,O
property,O
known,O
as,O
:,O
58,O
-,O
01,O
-,O
02,O
',',O
Jalan,B-LOC
pulai,L-LOC
45,O
.,O
Taman,U-PER
pulai,O
utama,O
',',O
81300,O
Skudai,U-LOC
.,O
Term,O
This,O
agreement,O
shall,O
run,O
from,O
1,O
-,O
8,O
-,O
2011,O
to,O
1,O
-,O
8,O
-,O
2012,O
.,O
Rent,O
The,O
monthly,O
rental,O
for,O
said,O
property,O
shall,O
be,O
RM,U-ORG
450,O
due,O
and,O
payable,O
by,O
check,O
by,O
the,O
First,O
day,O
of,O
each,O
month,O
.,O
Deposits,O
Tenant,O
will,O
pay,O
the,O
following,O
deposits,O
and/or,O
fees,O
:,O
Deposit,O
:,O
RM450,O
',',O
Utilities,O
:,O
RM450,U-ORG
This,O
amount,O
will,O
be,O
refunded,O
within,O
three,O
weeks,O
following,O
the,O
termination,O
of,O
the,O
tenancy,O
;,O
unpaid,O
rent,O
',',O
charges,O
for,O
damages,O
beyond,O
normal,O
wear,O
and,O
tear,O
',',O
and,O
costs,O
for,O
reasonable,O
cleaning,O
may,O
be,O
deducted,O
.,O
In,O
addition,O
',',O
it,O
is,O
agreed,O
:,O
Tenant,O
shall,O
not,O
lease,O
',',O
sublease,O
or,O
assign,O
the,O
premises,O
without,O
the,O
prior,O
written,O
consent,O
of,O
the,O
landlord,O
(,O
but,O
this,O
consent,O
shall,O
not,O
be,O
withheld,O
unreasonably,O
),O
.,O
Landlord,O
may,O
enter,O
the,O
premises,O
at,O
reasonable,O
times,O
for,O
the,O
purpose,O
of,O
inspection,O
',',O
maintenance,O
or,O
repair,O
',',O
and,O
to,O
show,O
the,O
premises,O
to,O
buyers,O
or,O
prospective,O
tenants,O
.,O
In,O
all,O
instances,O
',',O
except,O
those,O
of,O
emergency,O
or,O
abandonment,O
',',O
the,O
landlord,O
shall,O
give,O
tenant,O
reasonable,O
notice,O
(,O
at,O
least,O
one,O
day,O
),O
prior,O
to,O
such,O
an,O
entry,O
.,O
Tenant,O
agrees,O
to,O
occupy,O
the,O
premises,O
and,O
shall,O
keep,O
the,O
same,O
in,O
good,O
condition,O
',',O
reasonable,O
wear,O
and,O
tear,O
excepted,O
',',O
and,O
shall,O
not,O
make,O
any,O
alterations,O
thereon,O
without,O
the,O
written,O
consent,O
of,O
the,O
landlord,O
.,O
Tenant,O
agrees,O
not,O
to,O
use,O
the,O
premises,O
in,O
such,O
a,O
manner,O
as,O
to,O
disturb,O
the,O
peace,O
and,O
quiet,O
of,O
other,O
tenants,O
in,O
the,O
building,O
.,O
Tenant,U-ORG
further,O
agrees,O
not,O
to,O
maintain,O
a,O
public,O
nuisance,O
and,O
not,O
conduct,O
business,O
or,O
commercial,O
activities,O
on,O
the,O
premises,O
.,O
Tenant,O
shall,O
',',O
upon,O
termination,O
of,O
this,O
agreement,O
',',O
vacated,O
and,O
return,O
dwelling,O
in,O
the,O
same,O
condition,O
that,O
it,O
was,O
received,O
',',O
less,O
reasonable,O
wear,O
and,O
tear,O
',',O
and,O
other,O
damages,O
beyond,O
the,O
Tenant,B-ORG
’s,L-ORG
control,O
.,O
In,O
a,O
dispute,O
between,O
landlord,O
and,O
tenant,O
which,O
gives,O
rise,O
to,O
any,O
action,O
in,O
court,O
',',O
the,O
losing,O
party,O
will,O
pay,O
the,O
court,O
costs,O
and,O
reasonable,O
attorney,O
fees,O
of,O
the,O
successful,O
party,O
.,O
We,O
',',O
the,O
undersigned,O
',',O
agree,O
to,O
this,O
Rental,B-MISC
Agreement,L-MISC
:,O
